uni_name,Faculty,Number of courses
Universiti Malaysia Terengganu (UMT),FACULTY OF SCIENCE AND MARINE ENVIRONMENT,8
Universiti Malaysia Terengganu (UMT),FACULTY OF OCEAN ENGINEERING TECHNOLOGY & INFORMATICS,9
Universiti Malaysia Terengganu (UMT),FACULTY OF FISHERY AND FOOD SCIENCES,6
Universiti Malaysia Terengganu (UMT),FACULTY OF MARITIME STUDIES,3
Universiti Malaysia Terengganu (UMT),"FACULTY OF BUSINESS, ECONOMICS AND SOCIAL DEVELOPMENT",6
