uni_name,Faculty,Number of courses
Universiti Tun Hussein Onn Malaysia (UTHM),CIVIL ENGINEERING AND BUILT ENVIRONMENT,2
Universiti Tun Hussein Onn Malaysia (UTHM),ELECTRICAL AND ELECTRONIC ENGINEERING,2
Universiti Tun Hussein Onn Malaysia (UTHM),MECHANICAL AND MANUFACTURING ENGINEERING,4
Universiti Tun Hussein Onn Malaysia (UTHM),TECHNOLOGY MANAGEMENT AND BUSINESS,5
Universiti Tun Hussein Onn Malaysia (UTHM),TECHNICAL AND VOCATIONAL EDUCATION,14
Universiti Tun Hussein Onn Malaysia (UTHM),COMPUTER SCIENCE TECHNOLOGY AND INFORMATION,5
Universiti Tun Hussein Onn Malaysia (UTHM),APPLIED SCIENCE AND TECHNOLOGY ,6
Universiti Tun Hussein Onn Malaysia (UTHM),ENGINEERING TECHNOLOGY,12
