uni_name,Faculty,Number of courses
Universiti Pertahanan Nasional Malaysia (UPNM),Fakulti Pengajian & Pengurusan Pertahanan ,2
Universiti Pertahanan Nasional Malaysia (UPNM),Fakulti Kejuruteraan,4
Universiti Pertahanan Nasional Malaysia (UPNM),Fakulti Sains & Teknologi Pertahanan ,6
Universiti Pertahanan Nasional Malaysia (UPNM),Fakulti Perubatan dan Kesihatan Pertahanan ,1
