uni_name,Faculty,Number of courses
Universiti Malaysia Pahang (UMP),Engineering,6
Universiti Malaysia Pahang (UMP),Engineering Technology,15
Universiti Malaysia Pahang (UMP),Applied Science,5
Universiti Malaysia Pahang (UMP),Computer,3
Universiti Malaysia Pahang (UMP),Management,4
Universiti Malaysia Pahang (UMP),Technology,6
