uni_name,Faculty,Number of courses
Universiti Pendidikan Sultan Idris (UPSI),Faculty of Language and Communication,7
Universiti Pendidikan Sultan Idris (UPSI),Faculty of Music and Performing Arts,2
Universiti Pendidikan Sultan Idris (UPSI),Faculty of Management and Economics,4
Universiti Pendidikan Sultan Idris (UPSI),Faculty of Human Sciences,6
Universiti Pendidikan Sultan Idris (UPSI),Faculty of Science and Mathematics,6
Universiti Pendidikan Sultan Idris (UPSI),Faculty of Sports Science and Coaching,3
Universiti Pendidikan Sultan Idris (UPSI),"Faculty of Art, Computing & Creative Industry",8
Universiti Pendidikan Sultan Idris (UPSI),Faculty of Human Development,4
Universiti Pendidikan Sultan Idris (UPSI),Faculty of Technical and Vocational ,4
