uni_name,Faculty,Number of courses
Universiti Malaysia Perlis (UniMAP),FACULTY OF APPLIED AND HUMAN SCIENCES,3
Universiti Malaysia Perlis (UniMAP),FACULTY OF CIVIL ENGINEERING TECHNOLOGY,4
Universiti Malaysia Perlis (UniMAP),FACULTY OF ELECTRONIC ENGINEERING TECHNOLOGY,8
Universiti Malaysia Perlis (UniMAP),FACULTY OF ELECTRICAL ENGINEERING TECHNOLOGY,5
Universiti Malaysia Perlis (UniMAP),FACULTY OF MECHANICAL ENGINEERING TECHNOLOGY,9
Universiti Malaysia Perlis (UniMAP),FACULTY OF CHEMICAL ENGINEERING TECHNOLOGY,7
