course,Introduction,Fee,Duration,Link,Address,Contact
SARJANA MUDA KEJURUTERAAN ELEKTRONIK DENGAN KEPUJIAN,NA,1180 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/kejuruteraan/286-sk86-ijazah-sarjana-muda-kejuruteraan-kepujian-kejuruteraan-elektronik,"Pusat Pengajian Kejuruteraan Elektrik Dan Elektronik, USM, kampus Kejuruteraan, Seberang Perai Selatan, Nibong Tebal, Penang 14300 Malaysia",NA
SARJANA MUDA KEJURUTERAAN KIMIA DENGAN KEPUJIAN,NA,1180 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/kejuruteraan/272-sk03-ijazah-sarjana-muda-kejuruteraan-kepujian-kejuruteraan-kimia,"Pusat Pengajian Kejuruteraan Elektrik Dan Elektronik, USM, kampus Kejuruteraan, Seberang Perai Selatan, Nibong Tebal, Penang 14300 Malaysia",NA
SARJANA MUDA KEJURUTERAAN SUMBER MINERAL DENGAN KEPUJIAN,NA,1180 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/kejuruteraan/274-sk06-ijazah-sarjana-muda-kejuruteraan-kepujian-kejuruteraan-sumber-mineral,"Pusat Pengajian Kejuruteraan Elektrik Dan Elektronik, USM, kampus Kejuruteraan, Seberang Perai Selatan, Nibong Tebal, Penang 14300 Malaysia",NA
SARJANA MUDA KEJURUTERAAN POLIMER DENGAN KEPUJIAN,NA,1180 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/kejuruteraan/285-sk32-ijazah-sarjana-muda-kejuruteraan-kepujian-kejuruteraan-polimer,"Pusat Pengajian Kejuruteraan Elektrik Dan Elektronik, USM, kampus Kejuruteraan, Seberang Perai Selatan, Nibong Tebal, Penang 14300 Malaysia",NA
SARJANA MUDA KEJURUTERAAN BAHAN DENGAN KEPUJIAN,NA,1180 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/kejuruteraan/275-sk12-ijazah-sarjana-muda-kejuruteraan-kepujian-kejuruteraan-bahan,"Pusat Pengajian Kejuruteraan Elektrik Dan Elektronik, USM, kampus Kejuruteraan, Seberang Perai Selatan, Nibong Tebal, Penang 14300 Malaysia",NA
SARJANA MUDA KEJURUTERAAN AEROANGKASA DENGAN KEPUJIAN,NA,1180 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/kejuruteraan/277-sk15-ijazah-sarjana-muda-kejuruteraan-kepujian-kejuruteraan-aeroangkasa,"Pusat Pengajian Kejuruteraan Elektrik Dan Elektronik, USM, kampus Kejuruteraan, Seberang Perai Selatan, Nibong Tebal, Penang 14300 Malaysia",NA
SARJANA MUDA KEJURUTERAAN AWAM DENGAN KEPUJIAN,NA,1180 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/kejuruteraan/271-sk01-ijazah-sarjana-muda-kejuruteraan-kepujian-kejuruteraan-awam,"Pusat Pengajian Kejuruteraan Elektrik Dan Elektronik, USM, kampus Kejuruteraan, Seberang Perai Selatan, Nibong Tebal, Penang 14300 Malaysia",NA
SARJANA MUDA SAINS DALAM SAINS FORENSIK (KEPUJIAN),NA,1380 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/perubatan-pergigian-dan-kesihatan/294-sm11-ijazah-sarjana-muda-sains-kepujian-sains-forensik,"Pusat Pengajian Sains Pergigian, Kampus Kesihatan, Universiti Sains Malaysia, 16150 Kubang Kerian, Kelantan, Malaysia.",NA
SARJANA MUDA AUDIOLOGI (KEPUJIAN),NA,1380 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/perubatan-pergigian-dan-kesihatan/292-sm07-ijazah-sarjana-muda-sains-kesihatan-kepujian-audiologi,"Pusat Pengajian Sains Pergigian, Kampus Kesihatan, Universiti Sains Malaysia, 16150 Kubang Kerian, Kelantan, Malaysia.",NA
SARJANA MUDA SAINS KESIHATAN (KEPUJIAN) (KEJURURAWATAN),NA,1380 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/perubatan-pergigian-dan-kesihatan/295-sm12-ijazah-sarjana-muda-sains-kesihatan-kepujian-kejururawatan,"Pusat Pengajian Sains Pergigian, Kampus Kesihatan, Universiti Sains Malaysia, 16150 Kubang Kerian, Kelantan, Malaysia.",NA
