uni_name,Faculty,Number of courses
Universiti Teknologi Malaysia (UTM),Faculty of Engineering,22
Universiti Teknologi Malaysia (UTM),Faculty of Social Science & Humanities,11
Universiti Teknologi Malaysia (UTM),Faculty of Built Environment & Surveying,9
Universiti Teknologi Malaysia (UTM),Faculty of Sciences,8
Universiti Teknologi Malaysia (UTM),Azman Hashim International Business School,3
Universiti Teknologi Malaysia (UTM),Razak Faculty of Technology and Informatics,1
Universiti Teknologi Malaysia (UTM),Malaysia – Japan International Institute of Technology,4
