uni_name,Faculty,Number of courses
Universiti Sains Malaysia (USM),"Perubatan, Pergigian dan Kesihatan",12
Universiti Sains Malaysia (USM),Sains,25
Universiti Sains Malaysia (USM),Kejuruteraan,11
Universiti Sains Malaysia (USM),Sastera,19
